item_id,stage,entry_time,exit_time
ORD-1001,Order Received,2026-01-05T08:02:00,2026-01-05T08:07:00
ORD-1001,QC Check,2026-01-05T08:07:00,2026-01-05T09:41:00
ORD-1001,Packing,2026-01-05T09:41:00,2026-01-05T09:52:00
ORD-1002,Order Received,2026-01-05T08:05:00,2026-01-05T08:09:00
ORD-1002,QC Check,2026-01-05T08:09:00,2026-01-05T08:58:00
ORD-1002,Packing,2026-01-05T08:58:00,2026-01-05T09:10:00
ORD-1003,Order Received,2026-01-05T08:11:00,2026-01-05T08:16:00
ORD-1003,QC Check,2026-01-05T08:16:00,2026-01-05T11:20:00
ORD-1003,Packing,2026-01-05T11:20:00,2026-01-05T11:30:00
ORD-1004,Order Received,2026-01-05T08:20:00,2026-01-05T08:24:00
ORD-1004,QC Check,2026-01-05T08:24:00,2026-01-05T09:05:00
ORD-1004,Packing,2026-01-05T09:05:00,2026-01-05T09:15:00
